cell_id,elevation,slope,population,rainfall,poverty_rate,vulnerable_pop_ratio,dist_road_m,dist_health_m,landslide_score,flood_score,weighted_hazard,hazard_score,exposure_score,vulnerability_score,risk_score,risk_category,relocation_priority,suitability_score,carrying_capacity,site_id,geometry_wkt
WAY_HEX_0405,750.0,6.3214401614443725,0,222.2,0.34,0.19,142.6,69.1,12.58,67.31,37.2085,37.21,29.43,28.51,32.7,Moderate,No Action,84.65,2224,SAFE_SITE_000,"MULTIPOLYGON (((76.289859 11.601092, 76.278855 11.601141, 76.273395 11.610561, 76.27894 11.619933, 76.289946 11.619884, 76.295405 11.610463, 76.289859 11.601092)))"
WAY_HEX_0425,750.0,6.657950731512415,150,223.8,0.19,0.24,263.8,1640.1,15.56,67.5,38.933,38.93,30.48,22.7,32.34,Moderate,No Action,79.13,1821,SAFE_SITE_001,"MULTIPOLYGON (((76.278855 11.601141, 76.289859 11.601092, 76.295318 11.591671, 76.294637 11.59052, 76.291282 11.590396, 76.289086 11.590031, 76.286037 11.590276, 76.280763 11.598545, 76.280342 11.599083, 76.278921 11.6009, 76.27812 11.5999, 76.278855 11.601141)))"
WAY_HEX_0428,750.0,6.578649299714848,150,200.3,0.18,0.19,189.8,3170.7,12.48,64.74,35.997,36.0,30.78,16.27,29.5,Moderate,No Action,76.7,2486,SAFE_SITE_002,"MULTIPOLYGON (((76.344882 11.600841, 76.355887 11.60079, 76.360041 11.593616, 76.359907 11.593531, 76.358398 11.592226, 76.354208 11.589423, 76.351765 11.589376, 76.347582 11.589191, 76.343926 11.588018, 76.341351 11.58799, 76.340619 11.589254, 76.340441 11.591307, 76.3401 11.592763, 76.344882 11.600841)))"
WAY_HEX_0430,750.0,6.057671198855845,150,199.7,0.43,0.24,1381.9,4739.8,8.06,64.67,33.5345,33.53,25.96,58.94,37.61,Moderate,No Action,66.74,1784,SAFE_SITE_003,"MULTIPOLYGON (((76.355887 11.60079, 76.361434 11.61016, 76.372439 11.610107, 76.377325 11.60167, 76.370598 11.599427, 76.367424 11.598307, 76.360041 11.593616, 76.355887 11.60079)))"
WAY_HEX_0432,750.0,5.719533563313612,0,227.8,0.2,0.33,313.2,1181.9,8.12,67.97,35.0525,35.05,28.74,38.6,34.04,Moderate,No Action,81.61,1754,SAFE_SITE_004,"MULTIPOLYGON (((76.339425 11.610262, 76.32842 11.610313, 76.322962 11.619734, 76.328509 11.629105, 76.339515 11.629054, 76.344972 11.619633, 76.339425 11.610262)))"
WAY_HEX_0435,750.0,5.7473839775388935,0,185.8,0.38,0.19,6188.0,7673.8,4.04,63.04,30.59,30.59,5.01,50.9,27.99,Moderate,No Action,32.73,2395,SAFE_SITE_005,"MULTIPOLYGON (((76.411097 11.638108, 76.422103 11.638054, 76.425003 11.633044, 76.408707 11.634074, 76.411097 11.638108)))"
WAY_HEX_0437,750.0,6.869442835172911,150,195.7,0.24,0.18,2804.7,4751.8,14.44,64.2,36.832,36.83,20.22,25.44,29.0,Moderate,No Action,57.26,1766,SAFE_SITE_006,"MULTIPOLYGON (((76.372439 11.610107, 76.361434 11.61016, 76.355977 11.619581, 76.361526 11.628951, 76.372531 11.628899, 76.377987 11.619477, 76.372439 11.610107)))"
WAY_HEX_0440,750.0,5.756413573744047,0,216.4,0.13,0.28,633.0,2638.2,7.26,66.63,33.9765,33.98,27.44,24.73,29.71,Moderate,No Action,76.37,2675,SAFE_SITE_007,"MULTIPOLYGON (((76.339515 11.629054, 76.328509 11.629105, 76.32305 11.638526, 76.328598 11.647897, 76.339604 11.647846, 76.345062 11.638424, 76.339515 11.629054)))"
WAY_HEX_0446,750.0,5.583396801385996,280,213.4,0.22,0.21,108.9,67.1,5.5,66.28,32.851,32.85,32.44,17.45,28.88,Moderate,No Action,86.59,1789,SAFE_SITE_008,"MULTIPOLYGON (((76.323139 11.657318, 76.312133 11.657368, 76.306673 11.666789, 76.312221 11.67616, 76.323228 11.67611, 76.328687 11.666688, 76.323139 11.657318)))"
WAY_HEX_0448,750.0,5.870568691401399,0,161.7,0.25,0.25,5094.3,7015.4,2.6,60.21,28.5245,28.52,9.43,44.13,26.7,Moderate,No Action,41.54,2205,SAFE_SITE_009,"MULTIPOLYGON (((76.422103 11.638054, 76.411097 11.638108, 76.405641 11.647531, 76.411192 11.656899, 76.422198 11.656845, 76.427653 11.647423, 76.422103 11.638054)))"
