cell_id,elevation,slope,population,rainfall,poverty_rate,vulnerable_pop_ratio,dist_road_m,dist_health_m,geometry_wkt
WAY_HEX_0000,750.0,7.750894490246067,0,388.1,0.19,0.22,6822.6,7897.5,"MULTIPOLYGON (((75.932152 11.59307, 75.943157 11.593034, 75.948628 11.583619, 75.946791 11.580505, 75.946556 11.58081, 75.946007 11.581184, 75.944626 11.581638, 75.940468 11.583714, 75.940252 11.584374, 75.939998 11.585195, 75.939224 11.587181, 75.93877 11.588374, 75.938372 11.58939, 75.937943 11.589615, 75.937317 11.589603, 75.936352 11.589527, 75.935794 11.589707, 75.934965 11.589936, 75.934884 11.589993, 75.934369 11.590352, 75.933733 11.5903, 75.932806 11.590049, 75.931682 11.58969, 75.930645 11.589531, 75.930194 11.589753, 75.932152 11.59307)))"
WAY_HEX_0001,750.0,10.470546580077343,0,431.7,0.39,0.23,7429.2,9942.3,"MULTIPOLYGON (((75.915674 11.60252, 75.92668 11.602485, 75.932152 11.59307, 75.930194 11.589753, 75.929472 11.590108, 75.928383 11.591104, 75.927684 11.591903, 75.927249 11.59286, 75.9268 11.592176, 75.926135 11.592344, 75.924614 11.592456, 75.923837 11.592095, 75.922816 11.592336, 75.921235 11.593716, 75.919047 11.594354, 75.918228 11.595079, 75.917882 11.596349, 75.917212 11.598011, 75.9166 11.59902, 75.915592 11.599829, 75.914701 11.600365, 75.914439 11.600428, 75.915674 11.60252)))"
WAY_HEX_0002,750.0,6.392814713836192,0,430.7,0.18,0.2,6057.7,8421.0,"MULTIPOLYGON (((75.943157 11.593034, 75.932152 11.59307, 75.92668 11.602485, 75.932214 11.611864, 75.94322 11.611829, 75.948692 11.602414, 75.943157 11.593034)))"
WAY_HEX_0003,750.0,10.131917411648732,150,415.7,0.42,0.31,7056.2,10251.8,"MULTIPOLYGON (((75.910201 11.611935, 75.915674 11.60252, 75.914439 11.600428, 75.913596 11.600628, 75.912706 11.600691, 75.910206 11.601048, 75.909219 11.6017, 75.908575 11.602446, 75.908114 11.603487, 75.907556 11.606135, 75.907084 11.607838, 75.906343 11.60934, 75.90629 11.611022, 75.906031 11.611948, 75.910201 11.611935)))"
WAY_HEX_0004,750.0,6.163766374314978,0,430.5,0.24,0.36,5975.4,9003.4,"MULTIPOLYGON (((75.92668 11.602485, 75.915674 11.60252, 75.910201 11.611935, 75.915735 11.621314, 75.926742 11.621279, 75.932214 11.611864, 75.92668 11.602485)))"
WAY_HEX_0005,750.0,9.24427916707844,0,439.2,0.33,0.2,5789.3,9317.0,"MULTIPOLYGON (((75.910262 11.630729, 75.915735 11.621314, 75.910201 11.611935, 75.906031 11.611948, 75.905882 11.612483, 75.905174 11.613702, 75.904487 11.614374, 75.902889 11.615205, 75.902234 11.615667, 75.901977 11.616392, 75.901837 11.617601, 75.901387 11.619881, 75.900035 11.620953, 75.898747 11.622014, 75.89827 11.622598, 75.898173 11.623123, 75.898114 11.623607, 75.898072 11.624221, 75.897986 11.625498, 75.898259 11.626381, 75.898506 11.627012, 75.899579 11.628709, 75.899692 11.629744, 75.899696 11.630762, 75.910262 11.630729)))"
WAY_HEX_0006,750.0,6.695596879130323,150,391.1,0.37,0.2,4542.3,7103.3,"MULTIPOLYGON (((75.94322 11.611829, 75.932214 11.611864, 75.926742 11.621279, 75.932276 11.630659, 75.943284 11.630623, 75.948755 11.621208, 75.94322 11.611829)))"
WAY_HEX_0007,750.0,8.08795386402047,0,429.2,0.27,0.2,4107.2,7501.1,"MULTIPOLYGON (((75.926742 11.621279, 75.915735 11.621314, 75.910262 11.630729, 75.915796 11.640109, 75.926804 11.640074, 75.932276 11.630659, 75.926742 11.621279)))"
WAY_HEX_0008,750.0,11.287662628117431,0,354.8,0.39,0.37,3395.7,4348.1,"MULTIPOLYGON (((76.047396 11.508103, 76.056468 11.50807, 76.055944 11.505395, 76.05467 11.503704, 76.053551 11.503369, 76.050942 11.504172, 76.049014 11.504844, 76.047569 11.505953, 76.046533 11.506642, 76.047396 11.508103)))"
WAY_HEX_0009,750.0,10.041429238029,0,357.4,0.34,0.19,1839.2,3309.2,"MULTIPOLYGON (((76.030927 11.517558, 76.041929 11.517519, 76.047396 11.508103, 76.046533 11.506642, 76.046486 11.506673, 76.044648 11.507813, 76.043539 11.506143, 76.041985 11.506024, 76.040497 11.50572, 76.038629 11.505152, 76.038272 11.506563, 76.037417 11.508505, 76.035818 11.509684, 76.033978 11.511326, 76.031778 11.512051, 76.030127 11.512651, 76.028634 11.513674, 76.030927 11.517558)))"
